uniq_tow,Survey,Season,Year,Tow_Number,Region,Depth_Stra,Grid,Start_Lati,Start_Long,End_Latitu,End_Longit,Start_Date,Tow_Time,Start_Dept,End_Depth_,Tow_Type,Tow_Length,Bottom_Wat,Bottom_Sal,Surface_Wa,Surface_Sa,Stratum,Common_Nam,Number_Cau,Weight_kg,Subsample_,Subsample1,Male_Wt_kg,Female_Wt_,Expanded_C,Expanded_W,bathy_depth,habitat,Sed_type,fvcom_surf_temp_c,fvcom_bot_temp_c
SP06_4,SP06,Spring,2006,4,1,1,400,43.003250000000001,-70.69762,43.008499999999998,-70.71033,2006-05-01T15:34:00Z,0:16,14.100000000000000,12.199999999999999,R,0.641,6.800000000000000,31.530000000000001,7.000000000000000,31.520000000000000,1,Lobster American,3,0.98,0,0,0.26,0.72,3.750000000000000,1.225000000000000,-25.2199993,flat,sand,4.968375673270022,5.469227542917632
SP12_5,SP12,Spring,2012,5,1,1,513,43.004829999999998,-70.70013,43.008429999999997,-70.68828,2012-04-30T12:48:00Z,0:17,11.400000000000000,12.300000000000001,R,0.67,6.800000000000000,32.060000000000002,7.800000000000000,31.350000000000001,1,Lobster American,5,2.420000000000000,0,0,1.800000000000000,0.62,5.882352941180000,2.847058823530000,-23.8525009,flat,sand,8.037163641132079,7.213597329309883
SP13_5,SP13,Spring,2013,5,1,1,476,43.032629999999997,-70.69445,43.044350000000001,-70.68615,2013-05-06T13:14:00Z,0:19,8.600000000000000,9.600000000000000,R,0.798,9.699999999999999,30.420000000000002,10.500000000000000,29.930000000000000,1,Lobster American,98,27.219999999999999,0,0,16.600000000000001,10.619999999999999,103.157894737000007,28.652631578899999,-18.4025002,flat,sand,9.872752582530538,5.866917355581903
SP16_6,SP16,Spring,2016,6,1,1,476,43.029800000000002,-70.69495,43.042220000000000,-70.68752,2016-05-02T16:33:00Z,0:20,9.600000000000000,9.600000000000000,,0.83,6.400000000000000,31.440000000000001,8.500000000000000,30.160000000000000,1,Lobster American,47,12.619999999999999,0,0,9.760000000000000,2.860000000000000,47.000000000000000,12.619999999999999,-18.5550003,flat,sand,7.732041472032700,4.017626904030510
SP18_4,SP18,Spring,2018,4,1,1,476,43.041969999999999,-70.68863,43.029249999999998,-70.69737,2018-04-30T15:22:00Z,0:20,9.000000000000000,9.100000000000000,R,0.87,5.700000000000000,31.469999999999999,5.800000000000000,31.430000000000000,1,Lobster American,1,0.43,0,0,0.43,0,1.000000000000000,0.43,-18.6499996,flat,sand,7.361659874233853,5.481419451544733
FL00_1,FL00,Fall,2000,1,1,2,392,43.021500000000003,-70.5658,43.029800000000002,-70.5561,2000-10-30T10:29:00Z,0:17,33.000000000000000,30.000000000000000,R,0.66,0,0,0,0,2,Lobster American,16,6.000000000000000,0,0,3.000000000000000,3.000000000000000,18.823529411799999,7.058823529410000,-48.3100014,rocky zone,sand,11.105833062034794,10.130963193899493
FL00_2,FL00,Fall,2000,2,1,3,409,43.002000000000002,-70.5171,43.010700000000000,-70.5034,2000-10-30T11:47:00Z,0:20,46.000000000000000,46.000000000000000,R,0.82,0,0,0,0,3,Lobster American,14,3.900000000000000,0,0,2.800000000000000,1.100000000000000,14.000000000000000,3.900000000000000,-81.2074966,flat,mud,11.105833062034794,10.130963193899493
FL00_7,FL00,Fall,2000,7,1,3,368,43.069200000000002,-70.4196,43.056699999999999,-70.4342,2000-11-02T08:18:00Z,0:20,49.000000000000000,49.000000000000000,R,0.96,8.800000000000001,32.880000000000003,10.600000000000000,32.530000000000001,3,Lobster American,18,8.000000000000000,0,0,3.000000000000000,5.000000000000000,18.000000000000000,8.000000000000000,-91.7900009,flat,sand,11.105833062034794,10.130963193899493
FL00_8,FL00,Fall,2000,8,1,3,305,43.142099999999999,-70.3947,43.153300000000002,-70.3723,2000-11-02T10:02:00Z,0:20,46.000000000000000,0,,1.210000000000000,0,0,0,0,3,Lobster American,59,20.000000000000000,0,0,13.000000000000000,7.000000000000000,59.000000000000000,20.000000000000000,-86.2600021,flat,sand,11.105833062034794,10.130963193899493
FL01_6,FL01,Fall,2001,6,1,3,411,43.003700000000002,-70.467,43.015400000000000,-70.4575,2001-09-25T10:31:00Z,0:21,51.000000000000000,51.000000000000000,R,0.82,0,0,0,0,3,Lobster American,3,1.160000000000000,0,0,0.2,0.96,2.857142857140000,1.104761904760000,-94.7900009,flat,mud,15.961970744454376,8.459515360863936
